nombre_cliente,Folio,capital,porcentaje,tipo_contrato,completado,fecha,nombre_ejecutivo
Mellisent Henrys,35-024-6994,4500,40,renovacion,1,11/10/2021,Perla
Myrtle Gainsborough,18-846-8798,5000,13,renovacion,,1/7/2021,Blas
Maryl Revely,57-299-9759,1500,60,nuevo,,2/2/2022,Cristobal
Ettie Hedaux,85-026-8061,3500,27,reestructutacion,1,2/6/2020,Juan
Thayne Austen,78-383-1796,5000,13,reestructutacion,,12/8/2021,Efraín
Ingeberg Masdon,82-776-6495,4500,27,reestructutacion,,12/1/2021,Daniel
Morena Maytum,14-095-4013,5000,13,reestructutacion,,5/25/2021,Natali
Alika MacMenamy,51-184-6463,3000,40,nuevo,1,3/22/2022,Ángel
Beret Ruffy,53-758-2427,5000,40,renovacion,,4/14/2020,Monserrat
Konstance Barney,15-277-4016,1500,40,renovacion,1,7/23/2019,Heber
Farr Champness,65-461-2797,2000,13,renovacion,1,6/29/2019,Ismael
Lawton D'Onise,99-857-3859,1500,40,nuevo,1,12/13/2020,Grisel
Linc Orvis,65-595-1709,2500,60,reestructutacion,1,11/3/2020,Felipe
Bartholemy Sawyer,00-322-4122,3500,13,renovacion,1,1/7/2021,Luis
Angelica Weatherdon,38-517-5097,6000,27,reestructutacion,1,8/27/2019,Juan
Erin Mogey,41-306-8744,5000,40,nuevo,1,4/2/2020,Luis
Harry Morgan,93-019-6745,2000,60,renovacion,,6/28/2020,Fabiola
Brade Stilly,05-238-2645,4500,13,nuevo,,7/22/2019,Alvaro
Homere Wike,55-860-1557,1500,40,reestructutacion,1,11/30/2019,Belen
Grenville Hallford,43-328-6795,6000,60,nuevo,,9/3/2020,Horacio
Lionello Tocknell,75-500-6062,2500,60,reestructutacion,1,4/17/2019,Perla
Netta Tegler,16-343-3118,1500,40,reestructutacion,1,3/31/2020,Rafael
Jonathan Fearns,84-187-8399,2000,27,renovacion,,1/16/2022,Belen
Iolanthe Freda,95-598-8615,5000,60,nuevo,1,7/10/2021,Dulce
Arie Takle,70-162-2552,1500,13,nuevo,1,8/26/2021,Jose
Rudolph Fontell,71-778-5947,2000,60,reestructutacion,,12/9/2021,Rafael
Kipp Heady,14-479-4863,1500,60,reestructutacion,1,1/31/2021,Jorge
Leigh Frank,86-223-2451,1000,27,reestructutacion,,3/5/2022,Monica
Ann Greathead,64-354-3780,6000,27,nuevo,1,10/6/2019,Luis
Nelie Delouch,06-654-8210,1000,13,nuevo,1,7/27/2019,Mitchel
Rikki Hindmore,93-603-4143,4500,27,reestructutacion,1,5/14/2019,Anthony
Forester Clousley,58-101-9992,6000,27,reestructutacion,,2/12/2020,Ismael
Chandra Caroline,28-589-3188,3000,60,renovacion,1,2/9/2020,Fanny
Liesa Klink,17-013-0371,1500,13,reestructutacion,1,8/14/2019,Saul
Raphael Laimable,39-471-4480,1000,60,nuevo,1,2/10/2020,Alvaro
Beatriz Boyford,03-613-0223,5000,13,renovacion,1,10/15/2021,Noa
Pebrook Kohler,22-724-2380,3000,40,nuevo,1,3/7/2022,Ángel
Christel Brunelleschi,28-682-7027,1000,27,reestructutacion,1,12/4/2019,Juan
Jock Tuplin,26-822-9308,5500,27,reestructutacion,,4/7/2022,Noa
Merci Moorhead,88-078-2110,6000,27,nuevo,1,4/11/2021,Grisel
Broderic Hankins,26-601-5864,3500,40,renovacion,,6/10/2020,Juan
Dell McNirlan,64-322-2381,6000,40,renovacion,1,12/25/2019,Sandra
Lilian Dytham,69-309-2146,2500,40,reestructutacion,1,7/27/2019,Cristobal
Lulu Twentyman,90-818-2319,3000,40,nuevo,1,6/9/2020,Saul
Corrie Kenzie,90-691-6168,1000,60,renovacion,1,11/20/2021,Heber
Courtney Polo,72-109-9878,1500,40,renovacion,,7/12/2021,Ángel
Delores Fryd,06-538-5244,3500,27,reestructutacion,,5/7/2020,Ismael
Oberon Ballston,36-850-2847,2500,27,reestructutacion,,11/11/2020,Monica
Gerry Levens,51-455-6069,2000,13,reestructutacion,,7/6/2021,Jose
Wendeline McCormack,82-953-8152,3000,40,reestructutacion,1,7/25/2021,Mitchel
Nanci Collens,59-846-4286,2500,60,nuevo,1,3/23/2022,Dulce
Iago Stirland,59-000-0594,1500,13,nuevo,1,8/29/2019,Ismael
Cori Sikorsky,00-956-4627,1000,13,reestructutacion,,1/29/2022,Perla
Axel Dungey,55-561-4136,2000,60,renovacion,,4/30/2020,Sandra
Colene Fairman,24-874-9766,3000,27,nuevo,1,10/21/2021,Fanny
Lani Rummer,44-659-2304,1500,27,nuevo,1,5/20/2020,Heber
Delphinia Oscroft,71-734-0068,5000,13,reestructutacion,1,9/2/2020,Cristobal
Bradford Casol,58-175-1787,5500,13,reestructutacion,1,2/14/2022,Belen
Willi Shirlaw,73-601-4563,1500,40,nuevo,,2/21/2022,Heber
Jo ann Ballinger,00-277-9811,5000,60,reestructutacion,1,5/21/2020,Noa
Lukas Donnachie,32-576-1630,3500,13,nuevo,1,4/5/2021,Monserrat
Phillipe Doleman,86-423-7596,5500,40,reestructutacion,,4/1/2022,Anthony
Merle Chatain,36-711-1695,4500,27,renovacion,1,9/16/2020,Jorge
Brianne Ebbetts,18-785-6181,3500,60,nuevo,1,6/8/2021,Rafael
Dell Spellissy,84-040-5141,6000,27,reestructutacion,,1/17/2020,Jose
Martina Gavaghan,48-863-9967,1500,40,renovacion,1,7/10/2021,Dulce
Tadeas Galego,66-306-3692,4500,40,reestructutacion,1,10/28/2019,Rosa
Torrance Calderon,21-586-6304,5000,60,nuevo,1,11/18/2019,Grisel
Elroy Muzzlewhite,05-824-5369,3500,60,reestructutacion,1,2/22/2021,Rafael
Matthias Rosenkrantz,29-877-5140,3500,13,nuevo,1,8/23/2019,Luis
Giacomo Antrum,07-390-4862,1000,40,reestructutacion,1,12/27/2021,Ismael
Wilma Skews,15-321-6692,6000,27,renovacion,1,6/19/2019,Natali
Sherrie Nyssens,22-117-0174,5500,27,renovacion,1,7/25/2019,Grisel
Alvis Bootyman,85-430-5358,4500,13,nuevo,1,9/10/2021,Juan
Lidia Iredale,09-565-6450,1500,60,nuevo,1,7/6/2021,Jorge
Torrance Jacobsen,97-640-0286,5500,40,renovacion,1,4/21/2021,Monserrat
Harley Swigg,71-159-1083,3000,27,renovacion,1,11/5/2020,Rafael
Arie Vaudrey,52-322-7322,1500,40,renovacion,,8/22/2020,Efraín
Shurlocke Jickells,57-481-5164,5500,60,renovacion,1,4/23/2019,Francisco
Victor Ramet,48-211-0240,4500,60,renovacion,,6/15/2020,Natali
Honoria Cashin,10-234-9191,1500,40,renovacion,,8/30/2020,Mitchel
Davidde Basilotta,94-080-4063,2500,13,nuevo,1,2/15/2021,Daniel
Mort Shurlock,83-349-4303,2500,60,reestructutacion,,5/20/2019,Ismael
Rosmunda Finder,20-743-0742,4500,13,nuevo,1,12/10/2020,Monserrat
Dyan Major,85-932-9491,6000,60,renovacion,1,10/2/2021,Efraín
Nicolea Brammall,44-323-6244,3500,27,nuevo,1,12/24/2021,Fanny
Constancia Kindley,88-582-7034,5500,27,reestructutacion,1,6/26/2020,Natali
Alexis Adamou,52-765-4513,4500,13,nuevo,1,5/26/2019,Jose
Emanuel Buddles,92-777-5266,6000,40,reestructutacion,,2/27/2022,Daniel
Elnora MacCarter,36-167-6314,2500,60,nuevo,1,7/13/2020,Luis
Clemente Ellwand,13-828-9416,2000,60,nuevo,1,8/31/2021,Alvaro
Annalise Caldera,68-668-7824,5500,60,nuevo,1,3/29/2021,Fanny
Harlene Gately,89-642-2630,4000,27,reestructutacion,1,11/1/2020,Juan
Andrea Heard,84-067-0108,1500,13,reestructutacion,1,3/7/2021,Monica
Saxon Nani,74-153-0256,2500,13,nuevo,1,6/28/2019,
Nicola Hussy,30-266-7293,3000,60,renovacion,1,11/14/2019,Sandra
Nell Cordon,39-070-4609,1500,40,reestructutacion,1,6/9/2021,Aketzali
Maribeth Lightowler,41-429-3048,6000,60,renovacion,1,8/17/2020,Jorge
Tiffani Pitfield,82-913-2542,1500,40,renovacion,1,6/28/2020,Ismael
Rod Royden,35-445-1043,3500,13,nuevo,1,10/28/2021,Ángel
Bren Gligorijevic,12-357-1955,4000,40,renovacion,1,9/27/2020,Ángel
Dilan Wrathmall,59-181-7774,4000,40,nuevo,,9/15/2021,Blas
Giacomo Harget,57-020-5770,2000,13,reestructutacion,1,6/1/2020,Francisco
Aurelia Jedras,87-193-5106,1500,60,nuevo,1,12/30/2019,Ángel
Kory Colleton,03-071-8870,5000,60,renovacion,1,7/31/2019,Juan
Ermentrude Burgher,80-871-5377,4000,27,renovacion,1,1/30/2022,Monica
Leonanie Drabble,35-908-1461,6000,27,nuevo,1,3/26/2022,Saul
Udell Anslow,42-071-1378,6000,13,renovacion,1,8/23/2021,Francisco
Jedidiah Lutton,04-742-1082,4500,13,nuevo,1,10/21/2020,Noa
Wally Lavalde,70-196-1145,2500,13,reestructutacion,1,12/1/2019,Miguel
Beatriz Renon,50-349-2643,1000,13,nuevo,,12/24/2020,Anthony
Berk Ianilli,14-852-8601,5000,27,nuevo,1,4/20/2021,
Cyrus Cocksedge,02-048-8823,5000,27,reestructutacion,1,6/30/2020,Saul
Debera Halbord,74-018-4206,2000,60,renovacion,1,8/2/2021,Natali
Ashien Dionisi,46-060-8362,2500,27,renovacion,,9/21/2021,Saul
Quincey Mitcham,31-056-2841,4000,60,nuevo,1,4/23/2020,Heber
Bellanca Garlett,28-390-0389,5000,40,nuevo,,10/11/2021,Alvaro
Randolph Stopp,84-878-1909,3000,13,nuevo,1,6/1/2020,Jose
Trip Frowen,03-156-1752,5000,60,renovacion,1,1/28/2021,Francisco
Ram Penhalewick,60-760-5906,1000,13,reestructutacion,1,1/24/2022,Natali
Nannie Largent,38-667-4943,4500,60,nuevo,1,2/22/2022,Juan
Brent Hebron,06-380-8176,2000,27,nuevo,,4/11/2021,Rosa
Waylen Paley,51-995-5382,5500,60,nuevo,,9/11/2020,Felipe
Drucy Slobom,43-977-7856,2500,40,nuevo,1,10/31/2020,Perla
Barrie Gillham,62-011-8892,3500,40,reestructutacion,,10/7/2019,Ángel
Glynis Hintze,65-298-9841,4000,13,renovacion,1,2/26/2022,Grisel
Betteann Bloxam,64-596-1123,3000,40,renovacion,,1/14/2020,Ismael
Cammi Bilsland,14-117-5379,2500,60,nuevo,,12/10/2021,Felipe
Page Yarnall,20-971-5600,3500,60,renovacion,1,11/7/2020,Monica
Analise Rey,58-149-4800,3000,27,renovacion,1,12/16/2019,Luis
Nels Beartup,06-576-0910,1500,27,nuevo,1,5/8/2019,
Yurik Adame,01-490-3245,2000,27,renovacion,,4/17/2021,Daniel
Jacquenetta Seer,13-271-3806,4500,40,nuevo,1,12/20/2019,Perla
Lucina Detloff,31-807-3554,5000,13,reestructutacion,,4/18/2020,Cristobal
Justinian Stanlake,76-444-0479,4000,40,reestructutacion,1,8/2/2019,Efraín
Humbert Birkenshaw,04-388-4036,1000,60,reestructutacion,,11/11/2020,Juan
Lotty Alford,56-774-1889,2000,60,renovacion,,7/24/2020,Jose
Sidney Vlasov,34-404-6950,2500,13,reestructutacion,,8/16/2019,Fanny
Pippa Darnell,61-258-2551,6000,27,reestructutacion,1,11/11/2020,Aketzali
Ruthi Oret,44-675-2247,2000,60,reestructutacion,1,5/10/2020,Alvaro
Marilin Bowcock,62-781-2813,1500,40,renovacion,,7/22/2021,Jorge
Geraldine Bortolotti,39-245-8074,3000,60,nuevo,1,8/22/2019,Dulce
Giacomo Manuele,51-765-5517,4000,60,nuevo,1,2/10/2020,Jose
Ambros Sedgefield,98-596-0406,2500,60,reestructutacion,,10/22/2021,Alvaro
Aguste Byrcher,92-654-7088,4000,13,renovacion,1,7/25/2020,Daniel
Alicea Cuppitt,66-289-6704,5500,60,nuevo,1,9/25/2021,Dulce
Orly Trembey,98-475-5101,5000,40,nuevo,,12/30/2019,Daniel
Gena Ubanks,96-860-7512,2000,13,renovacion,1,11/21/2020,Efraín
Edgar Colley,65-438-9592,4500,60,nuevo,1,10/11/2021,Rosa
Tallou Darlasson,38-954-7868,3500,40,reestructutacion,,9/6/2021,Horacio
Humphrey Avrasin,09-802-5654,3500,60,nuevo,,6/25/2019,Mitchel
Roseline Paulisch,93-793-8517,6000,60,nuevo,1,8/23/2020,Juan
Dorian Honisch,74-852-0307,3000,60,reestructutacion,1,8/30/2020,Ángel
Adda Tootell,65-944-6491,6000,40,renovacion,,3/7/2020,Horacio
Morgen Lammerding,02-703-7847,5500,13,renovacion,1,5/26/2021,Jose
Giffer Fendlow,77-454-2717,5500,13,nuevo,,5/9/2019,Anthony
Mamie Fountian,31-034-2567,5000,27,renovacion,1,2/11/2022,Jorge
Gerrie O'Mannion,84-122-2315,4000,27,nuevo,1,11/22/2019,Juan
Inesita Gerardeaux,07-479-4999,6000,13,nuevo,1,5/6/2019,Francisco
Ty Morman,54-464-7566,2000,27,renovacion,1,6/16/2020,Blas
Elka Crann,60-628-2818,1000,60,nuevo,1,7/25/2020,Monica
Kingsley Shillum,33-873-8458,3000,13,nuevo,1,11/2/2020,Efraín
Cherrita Huygen,44-077-3708,2000,27,nuevo,,5/13/2019,Natali
Stepha Ivashkov,95-756-4944,4000,60,reestructutacion,,6/20/2021,Horacio
Garwin Alexis,51-733-0150,3000,40,renovacion,1,8/20/2020,Horacio
Winna Currell,55-013-8597,4000,13,nuevo,1,7/17/2019,Mitchel
Peggie Denning,78-366-0755,4500,60,reestructutacion,1,7/18/2021,Horacio
Blaire Cunniam,84-953-2393,5500,13,nuevo,,4/12/2020,Natali
Lanette Pizey,81-066-1247,6000,13,renovacion,1,5/28/2021,Natali
Viva Bester,78-673-0685,5500,60,nuevo,1,8/28/2019,Juan
Deane Wollard,25-539-7597,3500,60,nuevo,,1/1/2022,Efraín
Helen-elizabeth Maytom,53-903-6349,2000,40,nuevo,1,4/22/2019,Saul
Mallory Favel,82-313-4110,1000,13,nuevo,,10/8/2019,Felipe
Finn Parlour,08-458-8715,1500,40,renovacion,1,4/13/2022,Sandra
Leonanie Miell,00-828-8988,5000,60,reestructutacion,1,8/23/2019,Natali
Florinda Mournian,81-330-2586,1500,60,reestructutacion,,7/6/2021,Luis
Vernon Delacourt,97-072-3056,6000,13,reestructutacion,,7/22/2021,Anthony
Christal Burder,16-131-3652,3000,27,nuevo,1,5/8/2019,Monserrat
Piggy Leat,19-670-6175,1500,60,renovacion,1,12/23/2020,Anthony
Teresita Gillogley,09-455-4796,1500,27,renovacion,1,3/25/2021,Sandra
Ingmar Quarrell,17-279-0226,6000,60,nuevo,1,5/6/2021,Efraín
Lizbeth Rockhall,94-529-4899,3500,60,reestructutacion,1,2/27/2020,Ismael
Saidee Joist,99-535-9206,1500,40,nuevo,1,3/24/2022,Anthony
Dermot Tillett,62-039-1114,6000,40,nuevo,1,2/8/2020,Felipe
Nonah Esgate,98-528-7847,5500,27,renovacion,1,2/27/2020,Horacio
Ozzy Aggus,53-549-6788,2000,13,nuevo,1,7/17/2021,Anthony
Sasha Dennant,34-668-8780,1000,27,nuevo,1,5/11/2021,Felipe
Mariam Gwillim,08-436-2241,4000,60,reestructutacion,,11/27/2020,Perla
Elora Birks,40-583-9836,3000,60,nuevo,1,8/3/2021,Cristobal
Barby Cutteridge,12-186-0818,3500,27,reestructutacion,1,8/11/2019,Ángel
Skell Hincham,84-505-5245,4000,40,renovacion,,7/12/2020,Horacio
Julee Wearn,24-061-7853,6000,60,renovacion,1,1/12/2021,Cristobal
Cammie Gonzales,99-407-1531,4500,60,renovacion,1,8/21/2021,Cristobal
Celka Spavins,22-697-5857,5500,13,renovacion,1,3/8/2020,Noa
Ida Hawke,84-215-5344,6000,13,renovacion,1,5/9/2021,Felipe
Grethel D'Onise,01-888-4820,3000,13,reestructutacion,1,4/11/2022,Alvaro
Jasun Oleszczak,18-085-8485,6000,40,reestructutacion,1,7/6/2019,Monica
Lilian Stolze,95-834-7104,4500,60,reestructutacion,,8/29/2019,Perla
Genvieve Dudliston,09-100-2419,3500,40,nuevo,1,1/1/2021,Jorge
Jozef McShee,51-902-7813,2000,27,reestructutacion,1,3/14/2020,Rafael
Forrester Clayhill,28-439-9205,2500,60,reestructutacion,1,10/16/2020,Francisco
Yorke Harrowell,20-399-5392,1000,13,nuevo,1,11/20/2020,Jose
Sandi Downing,12-577-8282,1500,40,reestructutacion,1,3/14/2021,Fabiola
Carlen Roly,69-657-9566,1500,60,nuevo,1,10/12/2020,Daniel
Allix Gouldstone,25-497-0811,6000,60,renovacion,1,8/29/2021,Ángel
Markos Cammacke,15-376-8511,1000,60,renovacion,1,2/10/2021,Francisco
Jerad Gethen,35-164-4947,3000,13,reestructutacion,1,1/14/2022,Efraín
Brinna McCluin,51-378-0863,4500,40,reestructutacion,1,11/12/2019,Luis
Mallorie Barbosa,65-365-0750,3500,40,renovacion,,12/29/2020,Perla
Cathee Alliott,49-089-1946,5500,27,renovacion,1,11/21/2021,Fanny
Charleen Stummeyer,39-413-5647,4500,60,nuevo,1,11/4/2019,Grisel
Madalyn Lasseter,52-762-2466,3000,40,reestructutacion,1,12/27/2019,Mitchel
Brunhilda Priestnall,12-389-3643,2500,27,renovacion,1,9/1/2020,Natali
Mirabella Nattriss,58-592-4211,1000,40,nuevo,,1/3/2021,Efraín
Natale Margeram,34-006-6776,6000,40,nuevo,1,1/15/2021,Aketzali
Angelika Francois,53-492-5567,3500,40,renovacion,,2/12/2021,Daniel
Merrie Aggott,89-521-3688,5500,40,reestructutacion,1,6/1/2020,Fanny
Earvin Birks,47-789-7562,6000,60,nuevo,1,6/25/2019,Ismael
Maryellen Macknish,40-882-0705,2500,40,nuevo,1,2/6/2021,Monserrat
Brina Jannaway,00-414-6333,2500,27,reestructutacion,1,7/28/2019,Heber
Hughie Wilcot,02-727-7025,2500,60,renovacion,,11/10/2019,Horacio
Wilt Feander,57-916-5953,6000,13,renovacion,1,3/21/2020,Blas
Lydie Aish,95-662-8162,5000,13,renovacion,,10/29/2021,Blas
Cthrine Anthoney,05-566-2152,2500,40,renovacion,1,3/29/2021,Alvaro
Reg Radolf,43-138-4634,1500,27,renovacion,,5/10/2021,Saul
Rosco Westrope,47-337-7037,1500,60,reestructutacion,1,6/4/2019,Saul
Mia Shillaber,74-666-7868,3500,60,nuevo,1,11/15/2020,Rafael
Gerianne O'Connell,05-558-1896,2500,60,reestructutacion,1,3/14/2022,Juan
Marion Botfield,91-182-1216,2500,27,renovacion,1,3/18/2021,Rosa
Sally Ballendine,34-116-2919,2000,27,reestructutacion,1,8/12/2020,Ismael
Corry Elliott,36-125-3398,6000,27,nuevo,1,8/18/2021,Daniel
Hy Beetles,17-638-2858,3500,13,renovacion,,10/27/2019,Luis
Eveline Chipchase,29-222-8334,2500,27,reestructutacion,,7/28/2019,Fanny
Neron Aronson,67-786-2942,1000,27,renovacion,1,12/28/2019,Miguel
Elbertina Balnaves,46-369-2432,4000,27,nuevo,1,1/2/2021,Heber
Erie Serrels,38-905-8024,3500,27,renovacion,1,4/26/2021,Rosa
Jewell Ferreiro,30-406-8428,4500,40,nuevo,,11/28/2019,Luis
Waylan Hauck,73-233-4504,6000,13,reestructutacion,1,2/13/2022,Natali
Sutton Cochrane,63-775-9771,4000,27,renovacion,1,10/11/2019,Ismael
Vally True,89-480-0745,3000,27,reestructutacion,1,7/1/2019,Fabiola
Davon Yakobovicz,79-171-3673,6000,13,reestructutacion,1,12/9/2021,Ismael
Christin Ondrousek,85-900-2269,1500,27,renovacion,1,2/19/2022,Mitchel
Jocelyn Romand,47-882-7726,4500,40,reestructutacion,,8/25/2020,Aketzali
Findlay Dilger,29-179-8300,3000,27,renovacion,,2/8/2021,Juan
Bertine Schubart,46-075-4053,5000,40,reestructutacion,1,8/7/2020,Horacio
Ellery Galland,13-402-6326,5500,27,renovacion,1,12/22/2020,
Lanette Bariball,19-245-1925,4500,60,renovacion,1,2/5/2021,Perla
Stoddard Bockmaster,01-808-4107,1000,27,renovacion,1,6/13/2020,Francisco
Anna-diana Colquete,56-429-3821,2500,13,nuevo,1,10/26/2021,Perla
Fidelity Gladdor,78-512-8994,5500,13,renovacion,1,10/26/2021,Jorge
Issi Johnikin,82-934-2451,4500,40,renovacion,1,4/17/2019,Natali
Gelya Chotty,44-674-3399,1500,27,reestructutacion,1,7/10/2019,Mitchel
Sarajane Bumphries,09-065-2261,3500,60,nuevo,,6/17/2019,Grisel
Rebe Maclean,79-333-0707,5000,13,reestructutacion,1,6/20/2019,Miguel
Sinclair Kloster,90-136-1662,5500,27,nuevo,1,5/13/2019,Aketzali
Moll Jennery,98-127-3016,2000,27,reestructutacion,1,5/4/2019,Daniel
Dorolice Jaegar,93-800-9470,6000,40,reestructutacion,,12/21/2019,Natali
Cleveland Dubble,40-862-9117,3000,40,renovacion,1,7/12/2019,Francisco
Natalee Tash,54-449-6548,1000,60,nuevo,,6/16/2019,Horacio
Eziechiele Moxted,81-041-0527,4000,40,nuevo,1,9/5/2019,Ismael
Mannie Phillimore,62-553-5466,2000,60,nuevo,1,11/6/2021,
Gladi Spurr,78-931-9473,4500,27,renovacion,,9/16/2021,Fabiola
Willis Foskin,43-358-0525,3500,60,nuevo,1,8/26/2019,Alvaro
Emery McNab,61-808-2091,5500,40,reestructutacion,1,5/27/2021,Efraín
Knox Guilloux,83-309-3314,2500,40,renovacion,1,1/22/2020,
Care Keyes,56-297-4417,4000,60,reestructutacion,1,11/20/2021,Rafael
Perle Wrixon,12-732-1969,1000,13,nuevo,1,10/25/2019,Grisel
Cristionna Macauley,46-862-3763,4000,60,renovacion,1,7/31/2021,Jose
Gabbey Udy,46-362-1878,4500,13,nuevo,,12/31/2020,Anthony
Stefanie Hawkwood,84-883-9347,4500,13,renovacion,1,10/3/2020,Alvaro
Marrilee Moxson,93-927-7438,3500,27,renovacion,1,6/19/2019,Dulce
Baryram Borth,57-015-1705,2500,60,reestructutacion,,11/19/2020,Daniel
Harp Handasyde,14-067-1653,1500,40,reestructutacion,1,2/7/2022,Natali
Ewart Ingleston,87-716-8939,5500,60,renovacion,1,3/21/2020,Fanny
Sonia Hardwidge,10-112-9482,2000,40,reestructutacion,1,8/7/2020,Jorge
Monica McCuffie,85-410-8778,5500,27,reestructutacion,,10/29/2019,Perla
Paula Beste,82-647-7645,4500,60,nuevo,,7/16/2021,Belen
Erasmus Itscowicz,62-929-5628,4000,60,renovacion,1,6/2/2020,Sandra
Bruno Beese,93-926-7317,4500,40,renovacion,1,8/8/2021,Heber
Neysa Pedron,98-718-4821,5000,60,renovacion,1,4/11/2021,Saul
Colman Habgood,38-872-7693,4000,27,nuevo,1,9/13/2021,Fabiola
Llywellyn Willatts,90-565-6560,3000,60,reestructutacion,,5/30/2021,Saul
Nickola Haig,48-915-7874,3000,13,nuevo,1,9/4/2019,Jorge
Alair Gong,99-489-1503,1000,60,nuevo,1,7/15/2021,Natali
Paul Foulser,52-684-8011,1500,27,nuevo,1,5/10/2020,Heber
Magda Billyeald,95-122-4377,5500,60,nuevo,1,12/1/2020,Monica
Arturo Pridmore,89-604-0640,2000,40,renovacion,1,12/9/2020,
Desi Bartrop,34-269-7365,5000,27,nuevo,1,6/11/2021,Blas
Aubine Dubois,96-528-2599,1000,60,reestructutacion,,2/1/2020,Ángel
Giffard Langston,87-895-8738,3000,40,nuevo,1,7/19/2019,Alvaro
Talya Curnucke,00-297-4320,3500,13,reestructutacion,1,3/5/2020,Miguel
Giorgi Burfield,85-434-3802,1000,60,renovacion,1,9/5/2021,Cristobal
Kippy Roots,91-341-5055,5000,60,reestructutacion,1,2/23/2020,Monserrat
Johnathan Elt,59-370-7925,4500,27,reestructutacion,,2/12/2020,Dulce
Valentina Matevosian,22-106-8244,1500,13,nuevo,1,1/26/2022,Monserrat
Jozef Burtwell,75-992-3340,2000,13,nuevo,1,12/26/2021,Fanny
Isadora Poland,55-640-4477,2500,60,reestructutacion,1,3/19/2021,Monserrat
Baily Copello,24-715-6364,3500,13,renovacion,1,1/11/2022,Ismael
Brenn Youll,58-397-5478,4500,40,reestructutacion,,4/11/2021,Mitchel
Blanca Stanistreet,97-756-1197,5500,27,reestructutacion,,5/30/2019,Horacio
Phyllis McDermott-Row,83-664-4214,3000,40,renovacion,1,7/23/2019,Fanny
Birgit Millhill,37-829-3976,2500,27,reestructutacion,1,1/2/2022,Horacio
Shepard Muck,92-950-0555,1500,40,renovacion,1,11/4/2021,Monserrat
Tatiana Lincey,81-648-4608,3000,40,nuevo,1,4/6/2022,Efraín
Vidovik Ghilks,86-375-5188,6000,60,nuevo,,2/9/2021,Rafael
Darci Lambart,00-380-7173,4500,13,renovacion,1,4/13/2020,Alvaro
Evyn Springell,65-148-3884,2500,60,renovacion,1,8/20/2021,Perla
Goraud Grundon,12-567-9220,3500,40,reestructutacion,1,1/12/2022,Blas
Adeline Hugo,71-214-1341,2000,27,reestructutacion,,12/7/2020,Fabiola
Noam McCuaig,18-600-2918,3000,60,reestructutacion,1,11/7/2021,Jorge
Barclay Beebis,79-793-3847,3500,27,nuevo,1,11/4/2019,Fanny
Saundra Zecchi,01-381-4202,2500,27,reestructutacion,1,9/19/2019,Fanny
Town Titherington,63-219-9190,5000,27,nuevo,,2/2/2020,Noa
Kasper Kyne,31-383-0642,2500,40,nuevo,1,6/12/2019,Felipe
Sander Lawerence,89-957-6634,3500,27,reestructutacion,1,3/22/2022,Aketzali
Josee Dix,28-977-8820,5500,13,reestructutacion,,11/5/2020,Jose
Silva Schuler,58-310-1726,2000,13,nuevo,,12/21/2020,Mitchel
Norry Kinzett,45-516-8330,2500,40,nuevo,1,9/16/2021,Jose
Patric Toplis,32-547-3150,3000,40,renovacion,,5/21/2019,Natali
Frederico Shavel,87-931-9288,4500,13,nuevo,,5/18/2020,Ismael
Maison Scoterbosh,36-763-8767,2500,13,nuevo,1,9/28/2021,Noa
Micheal Diprose,80-629-6334,4000,13,renovacion,1,4/19/2021,Miguel
Kessiah Cargenven,68-824-6856,6000,60,renovacion,,5/20/2019,Daniel
Olimpia Keyhoe,73-869-0713,3500,40,reestructutacion,1,2/6/2020,Francisco
Augy Pappi,80-955-4478,2500,60,renovacion,,10/25/2019,Grisel
Gil Eade,71-926-4676,3500,13,reestructutacion,,10/23/2021,Mitchel
Barbabra Eglinton,73-543-8438,5500,13,renovacion,1,12/25/2019,Aketzali
Kacie Westcarr,77-793-4567,1500,40,nuevo,1,3/25/2020,Monserrat
Eileen Demonge,35-494-5521,3000,40,renovacion,,8/14/2019,
Jaquelin Pickavance,91-759-9980,1500,60,renovacion,,11/15/2020,Blas
Basilio Scimoni,83-761-6400,4000,40,renovacion,1,2/4/2022,Daniel
Gretchen Rushforth,99-846-9083,5000,40,renovacion,,5/22/2021,Jorge
Glenden Herreran,00-987-9611,2500,60,nuevo,1,4/28/2019,Saul
Agnese de Courcy,72-454-8124,2000,13,renovacion,,7/18/2019,Ángel
Heath Rowbrey,47-787-9728,3000,27,renovacion,,9/24/2020,Efraín
Deeann Bedle,79-472-0188,1500,27,renovacion,1,10/22/2021,Sandra
Sydney Scudder,89-549-5700,2000,13,nuevo,1,7/19/2021,Heber
Allison Wycherley,11-761-8133,1000,27,reestructutacion,1,5/14/2021,Ángel
Peggie Fache,14-062-5316,4500,40,nuevo,1,4/22/2021,Luis
Alleen Blacktin,97-102-5775,1500,13,reestructutacion,1,12/17/2020,Belen
Winifred Durn,83-895-1162,4500,40,nuevo,,2/14/2021,Alvaro
Fionnula Reinbech,26-976-7847,3500,60,renovacion,,11/21/2019,Natali
Palmer Laurenty,54-786-7073,2000,40,nuevo,1,5/13/2020,Miguel
Delmer Streatley,73-618-4908,6000,27,nuevo,,1/12/2020,Rosa
Ewart Foxcroft,63-457-9247,1000,27,renovacion,1,3/27/2020,Horacio
